source_id,ra,dec,phot_g_mean_mag
4602081204540357248,262.9774987889492,33.589081382026464,15.33
1797276382668029440,322.7580134348313,23.33452039774173,8.87
1745568309317609088,320.61049255703875,10.873958431694566,9.29
333053037107550080,33.30602518536145,40.507050087423046,7.19
335144892337326336,40.56199874713429,40.19284368652732,4.72
4422479824136705792,230.35594274282315,4.247252275378453,11.05
845600587236098432,173.50714004109977,56.623729358362034,14.74
2472746473424383488,14.472554238984111,-10.467577672137647,15.51
4296708789289490816,298.8285808373305,6.40760493743814,10.47
263696736979837312,84.96800303356898,52.89663983032401,7.64
3311899034847352576,65.20092656428757,15.235503808469613,12.5
145421309108301184,67.25008651046653,21.92373726685378,7.7
1401005829306968064,233.1546017197139,46.88460589643836,10.71
1407397599636558592,252.01928169555487,45.37878383120685,12.32
467468196170006144,43.097412432440606,63.40912893227407,6.67
2758686773014648320,357.40762020763947,8.35798351698053,10.59
2477815222028038272,24.3988066578586,-6.761008401925997,7.47
4310275491469537152,283.8647587989919,8.402098190011454,9.03
764805169996366720,167.05677555405697,38.42687314723717,8.05
494177257749671936,63.17398678256453,70.20176257004786,9.22
1040054235130174080,138.58549456081514,61.42313218992667,5.02
982389862479141376,116.80762696862776,50.3445006097037,11.78
1597204161635741952,238.2699089071678,53.86997604486871,8.06
1813577913861507072,312.8989293540186,19.400340235929352,13.19
4549983418742839808,263.4707368923896,16.919520661557588,12.4
2410011260521088512,347.0821225200871,-15.410047305562566,10.19
2245067199050291328,309.5690605155034,63.8276080910011,14.52
2340577685342719104,0.6617293678429815,-21.809075914586053,13.71
49295199378608000,64.3619810289808,20.55451187949637,9.16
1646347108716916736,238.9460506851269,68.67130386878165,11.13
1432617510160019200,257.785072175198,56.658788280351935,6.81
4177224620176470912,270.12179650216945,-3.69054445167684,4.51
103363168277756928,36.19150810241932,25.975148062159143,10.78
2837037662371901184,343.01134870518064,23.41232430716043,9.31
34959010860789632,43.82378814329808,16.308913286754958,7.22
373349657227961472,19.120974246665487,42.93923027351137,6.46
4247023886053586304,300.6954855241883,3.3268948985697127,7.08
2281114756485256704,344.01900950041465,75.93932026796818,8.0
4276624250897321984,275.57225244060487,1.7069523750115476,9.58
1064092789129355136,142.88353170605325,63.062019212868535,3.58
6757523633110174464,287.13249955745783,-30.972997289877444,7.7
1548104507825815296,183.9328580862877,52.51624041534022,12.57
1294776032353235968,222.005433942029,38.46545967660373,9.18
13000080026782464,53.97286174544347,10.285357915992966,13.59
4499543189677892224,267.0592611587529,13.629358718939695,13.71
2807687883095124992,9.241759198909874,26.18209584269248,8.6
1440964624481230464,264.9817529171313,65.00227134608461,8.12
6582502959872402944,320.9690208401069,-39.13847112355891,12.16
2710189960812052736,336.76278783849733,6.825522410188108,11.92
1503074730664363776,208.03130124269435,46.4345126220606,14.37
